Town,Sales,,Property Type,Avg Assess Value,,H.Year,Sales Ratio
Ansonia,"$1,017,254,162.97",,Apartments,"$1,523,120.88",,2022,1.25%
Avon,"$3,528,675,469.59",,Commercial,"$1,433,599.57",,2021,1.01%
Barkhamsted,"$249,375,783.16",,Industrial,"$1,187,924.53",,2020,1.01%
Beacon Falls,"$524,217,903.00",,Not Available,"$315,463.35",,2019,1.70%
Berlin,"$1,777,136,519.36",,Single Family,"$277,236.80",,2018,10.31%
Bethel,"$2,169,957,033.00",,Residential,"$260,969.08",,2017,1.87%
Bethlehem,"$291,804,770.00",,Four Family,"$186,235.16",,2016,3.76%
Bolton,"$387,535,996.00",,Condo,"$174,842.78",,2015,1.89%
Branford,"$3,020,744,614.00",,Two Family,"$152,613.94",,2014,2.19%
Bristol,"$3,782,452,047.43",,Three Family,"$136,884.73",,2013,2.08%
Bridgeport,"$7,383,319,030.00",,Vacant Land,"$122,362.85",,2012,2.61%
Brookfield,"$2,371,121,956.00",,Public Utility,"$76,861.25",,2011,2.62%
Burlington,"$1,055,541,703.00",,,,,2010,2.33%
Canton,"$1,247,859,530.26",,,,,2009,1.79%
Cheshire,"$2,981,045,082.65",,,,,2008,1.90%
Colchester,"$1,098,553,738.00",,,,,2007,53.37%
Coventry,"$928,697,202.00",,,,,2006,83.11%
Cromwell,"$1,505,244,086.00",,,,,2005,2.01%
Danbury,"$8,870,835,324.32",,,,,2004,13.12%
Colebrook,"$127,991,662.00",,,,,2003,1.29%
Darien,"$10,989,228,530.00",,,,,2002,4.55%
Derby,"$707,123,129.00",,,,,2001,8.39%
East Granby,"$609,370,464.00",,,,,1999,0.49%
East Haddam,"$879,304,382.00",,,,,1900,0.00%
East Hartford,"$2,577,835,364.44",,,,,,
East Haven,"$2,133,494,330.76",,,,,,
East Lyme,"$2,243,760,074.54",,,,,,
East Hampton,"$1,230,742,360.57",,,,,,
Easton,"$1,582,731,548.79",,,,,,
East Windsor,"$986,297,709.00",,,,,,
Enfield,"$2,682,656,272.83",,,,,,
Essex,"$1,295,410,389.66",,,,,,
Farmington,"$3,975,693,512.70",,,,,,
Fairfield,"$12,389,006,882.32",,,,,,
Franklin,"$138,054,568.00",,,,,,
Glastonbury,"$5,193,040,475.00",,,,,,
Goshen,"$575,822,702.00",,,,,,
Granby,"$1,151,156,755.00",,,,,,
Greenwich,"$36,018,599,422.28",,,,,,
Guilford,"$3,392,590,794.49",,,,,,
Hamden,"$4,759,822,732.00",,,,,,
Griswold,"$681,002,909.22",,,,,,
Groton,"$2,955,056,502.00",,,,,,
Kent,"$594,204,078.00",,,,,,
Hartford,"$4,955,346,716.00",,,,,,
Litchfield,"$1,082,614,670.00",,,,,,
Harwinton,"$409,384,130.00",,,,,,
Killingly,"$1,298,480,863.00",,,,,,
Middletown,"$3,432,414,507.00",,,,,,
Killingworth,"$635,604,275.00",,,,,,
Lebanon,"$501,177,444.00",,,,,,
Lisbon,"$232,537,808.54",,,,,,
Madison,"$3,400,211,666.00",,,,,,
Manchester,"$4,305,168,535.35",,,,,,
New Britain,"$3,313,167,463.00",,,,,,
Mansfield,"$1,175,141,880.00",,,,,,
Meriden,"$3,373,142,884.47",,,,,,
Middlebury,"$856,948,616.22",,,,,,
New Haven,"$6,451,721,934.00",,,,,,
