Year,Count,,Year,Avg Sale Ra
2005,79566,,2006,83.10611832
2004,73943,,2007,53.36631822
2021,64441,,2004,13.12095613
2002,60207,,2018,10.31231765
2020,58344,,2001,8.391647641
2006,57250,,2002,4.552007202
2003,56317,,2016,3.756780883
2019,51228,,2011,2.623447448
2015,48894,,2012,2.613644748
2017,48493,,2010,2.32862054
2016,47611,,2014,2.188407295
2018,47165,,2013,2.078040743
2007,46138,,2005,2.013900046
2014,41941,,2008,1.895695382
2022,40946,,2015,1.885996928
2010,39128,,2017,1.870363396
2013,37513,,2009,1.794101173
2009,36305,,2019,1.702743854
2008,34195,,2003,1.286503276
2012,32568,,2022,1.248821585
2011,32088,,2021,1.012695168
2001,14291,,2020,1.010908267
1900,2,,1999,0.4914
1999,1,,1900,0
