Town,,,,
Greenwich,36018599422,,Row Labels,Average of Assessed Value
Stamford,31836471473,,Greenwich,"$2,480,684.22"
Norwalk,15428502563,,New Canaan,"$1,123,879.43"
Westport,13944773416,,Darien,"$973,130.34"
Fairfield,12389006882,,Westport,"$865,815.08"
Darien,10989228530,,Weston,"$606,717.98"
New Canaan,10268724522,,Wilton,"$561,503.93"
Danbury,8870835324,,Roxbury,"$517,641.69"
West Hartford,7618036026,,Stratford,"$504,318.60"
Bridgeport,7383319030,,Stamford,"$503,978.56"
New Haven,6451721934,,Washington,"$488,918.69"
Ridgefield,6409713429,,Ridgefield,"$486,927.69"
Milford,6079944982,,Norwalk,"$469,724.75"
Willington,5865371509,,Fairfield,"$469,053.08"
Stratford,5240623808,,Easton,"$424,295.86"
Glastonbury,5193040475,,Redding,"$405,322.53"
Waterbury,5179220019,,Salisbury,"$379,789.14"
Wilton,5116978765,,Stafford,"$369,472.17"
Hartford,4955346716,,Bridgewater,"$366,405.48"
Hamden,4759822732,,Preston,"$360,371.57"
Shelton,4615537227,,Madison,"$352,972.71"
Trumbull,4506260789,,Sharon,"$348,821.25"
Manchester,4305168535,,Lyme,"$340,678.34"
Newtown,4065792179,,Orange,"$314,940.75"
Rocky Hill,4065676073,,Bridgeport,"$314,474.06"
Farmington,3975693513,,Sherman,"$309,272.68"
Bristol,3782452047,,Woodbridge,"$301,825.05"
Wallingford,3722789485,,Avon,"$298,330.21"
Southington,3534043488,,Trumbull,"$297,179.80"
Avon,3528675470,,Old Saybrook,"$291,851.29"
Middletown,3432414507,,Stonington,"$291,399.63"
Madison,3400211666,,Essex,"$279,319.36"
Guilford,3392590794,,Farmington,"$278,448.45"
Meriden,3373142884,,Guilford,"$275,544.97"
New Britain,3313167463,,North Haven,"$271,513.15"
Weston,3293275362,,Suffield,"$270,564.61"
Windsor,3153343303,,Newtown,"$270,309.61"
Branford,3020744614,,Brookfield,"$269,730.89"
Simsbury,3005851007,,Glastonbury,"$267,598.27"
Cheshire,2981045083,,Simsbury,"$264,362.96"
Groton,2955056502,,Cornwall,"$263,308.22"
South Windsor,2888598351,,Warren,"$258,993.31"
New Milford,2876828942,,Old Lyme,"$254,422.05"
Stonington,2768530292,,Kent,"$250,860.52"
West Haven,2757332176,,Hamden,"$250,701.77"
Enfield,2682656273,,Oxford,"$246,254.49"
Newington,2673896170,,Monroe,"$244,433.49"
North Haven,2656375002,,New Fairfield,"$237,218.44"
Southbury,2611940435,,Bethel,"$236,513.19"
East Hartford,2577835364,,Westbrook,"$234,767.59"
Monroe,2511962515,,Middlebury,"$231,872.20"
Norwich,2412419466,,Danbury,"$230,702.50"
Brookfield,2371121956,,Shelton,"$230,426.62"
Torrington,2347289325,,Milford,"$224,157.31"
East Lyme,2243760075,,Goshen,"$223,278.25"
Bethel,2169957033,,Berlin,"$222,812.32"
East Haven,2133494331,,Cheshire,"$220,949.23"
Wethersfield,2126883064,,Chester,"$220,195.54"
Bloomfield,2111089858,,Litchfield,"$219,767.39"
Orange,2050233907,,Morris,"$213,837.37"
Old Saybrook,2028078296,,West Hartford,"$213,347.59"
Waterford,1916109165,,Killingworth,"$210,270.01"
Vernon,1859437406,,East Lyme,"$209,685.90"
Naugatuck,1858789791,,Norfolk,"$202,863.94"
New London,1808486939,,Branford,"$202,672.05"
Berlin,1777136519,,Woodbury,"$201,770.24"
Redding,1727178338,,Deep River,"$200,988.96"
New Fairfield,1712089255,,Bethany,"$200,084.66"
Suffield,1601950681,,Wallingford,"$197,962.70"
Easton,1582731549,,Southbury,"$197,148.06"
Watertown,1523947557,,Bloomfield,"$195,266.70"
Cromwell,1505244086,,Rocky Hill,"$193,888.90"
Oxford,1504374901,,Groton,"$192,724.22"
Washington,1490280863,,Canton,"$192,459.38"
Clinton,1442306706,,New Milford,"$189,979.45"
Old Lyme,1323871645,,Windsor,"$189,476.97"
Tolland,1302149580,,Burlington,"$188,904.91"
Killingly,1298480863,,Durham,"$188,550.01"
Essex,1295410390,,South Windsor,"$187,408.75"
Plainville,1258040398,,Marlborough,"$186,849.79"
Ellington,1255747866,,Clinton,"$185,333.25"
Canton,1247859530,,Bethlehem,"$183,117.34"
East Hampton,1230742361,,East Granby,"$182,584.24"
Windsor Locks,1212227768,,Haddam,"$180,999.33"
Woodbridge,1207691312,,Canaan,"$178,703.23"
Montville,1181944893,,Granby,"$178,486.97"
Woodbury,1181748500,,Tolland,"$174,641.12"
Mansfield,1175141880,,North Branford,"$173,923.23"
Granby,1151156755,,Southington,"$173,334.18"
Wolcott,1135007693,,New Haven,"$173,168.32"
Colchester,1098553738,,Somers,"$171,456.94"
Seymour,1092173745,,Waterford,"$170,415.56"
Ledyard,1088896291,,Wethersfield,"$169,877.15"
Litchfield,1082614670,,Prospect,"$169,307.42"
Burlington,1055541703,,Cromwell,"$169,219.75"
Plainfield,1041535866,,Windsor Locks,"$168,791.17"
Ansonia,1017254163,,Bolton,"$166,216.91"
East Windsor,986297709,,North Stonington,"$165,961.96"
Salisbury,941613550,,Hebron,"$165,032.96"
Coventry,928697202,,Enfield,"$161,914.74"
Westbrook,928118074.9,,Pomfret,"$161,632.70"
Windham,898820920,,Harwinton,"$159,458.57"
East Haddam,879304382,,Willington,"$159,032.34"
North Branford,856962873.8,,Salem,"$158,827.72"
Middlebury,856948616.2,,Colebrook,"$158,212.17"
Portland,856496585,,New Hartford,"$158,127.31"
Winchester,773240252,,Ellington,"$158,068.16"
Somers,772151895.7,,Manchester,"$157,806.60"
Prospect,750764904,,Newington,"$156,459.84"
Sharon,718582124,,Middlefield,"$155,853.02"
Roxbury,717632848,,Middletown,"$155,603.14"
Hebron,715708804,,Seymour,"$154,123.17"
Derby,707123129,,Watertown,"$152,778.39"
Sherman,706112927,,Mansfield,"$152,348.27"
Haddam,683928540.2,,Portland,"$152,290.60"
