Row Labels,Average of Sale Amount,Average of Assessed Value,,Sum of Sale Amount,Column Labels,,,,,,
***Unknown***,"$282,450.00","$66,540.00",,Row Labels,Condo,Four Family,Not Applicable,Single Family,Three Family,Two Family,Grand Total
Andover,"$220,091.49","$135,509.51",,***Unknown***,,,,"$282,450.00",,,"$282,450.00"
Ansonia,"$212,104.70","$133,075.21",,Andover,,,"$68,574,698.00","$125,766,134.95",,"$1,320,500.00","$195,661,332.95"
Ashford,"$206,041.62","$124,774.59",,Ansonia,"$14,484,131.00","$11,101,450.00","$378,898,147.05","$418,798,025.92","$37,898,825.00","$156,073,584.00","$1,017,254,162.97"
Avon,"$470,490.06","$298,330.21",,Ashford,"$1,645,050.00",,"$143,801,233.00","$136,277,711.00","$126,000.00","$3,517,653.03","$285,367,647.03"
Barkhamsted,"$223,254.95","$140,135.86",,Avon,"$408,655,978.00",,"$1,367,911,222.00","$1,750,990,269.59","$576,000.00","$542,000.00","$3,528,675,469.59"
Beacon Falls,"$277,363.97","$140,744.10",,Barkhamsted,,,"$89,435,303.66","$157,368,479.50","$695,000.00","$1,877,000.00","$249,375,783.16"
Berlin,"$294,715.84","$222,812.32",,Beacon Falls,"$136,029,055.00",,"$198,147,352.00","$186,257,024.00","$590,000.00","$3,194,472.00","$524,217,903.00"
Bethany,"$306,465.94","$200,084.66",,Berlin,"$236,823,398.90","$695,000.00","$703,722,227.29","$804,763,376.17","$2,628,299.00","$28,504,218.00","$1,777,136,519.36"
Bethel,"$361,418.56","$236,513.19",,Bethany,"$1,146,000.00",,"$182,607,808.00","$340,623,816.00","$265,000.00","$640,000.00","$525,282,624.00"
Bethlehem,"$302,075.33","$183,117.34",,Bethel,"$418,872,595.00","$2,105,000.00","$792,098,423.00","$895,972,226.00","$4,432,200.00","$56,476,589.00","$2,169,957,033.00"
Bloomfield,"$350,737.64","$195,266.70",,Bethlehem,"$2,021,457.00","$185,000.00","$95,703,390.00","$188,581,074.00",,"$5,313,849.00","$291,804,770.00"
Bolton,"$262,202.97","$166,216.91",,Bloomfield,"$186,593,222.00",,"$1,196,365,820.00","$725,558,366.00",,"$2,572,450.00","$2,111,089,858.00"
Bozrah,"$226,019.09","$138,764.71",,Bolton,"$398,500.00",,"$125,678,948.00","$259,485,648.00",,"$1,972,900.00","$387,535,996.00"
Branford,"$321,903.73","$202,672.05",,Bozrah,,,"$57,429,429.00","$72,571,360.00",,"$1,316,300.00","$131,317,089.00"
Bridgeport,"$202,360.33","$314,474.06",,Branford,"$559,569,222.00","$2,845,422.00","$972,884,126.00","$1,412,519,358.00","$12,317,150.00","$60,609,336.00","$3,020,744,614.00"
Bridgewater,"$593,723.45","$366,405.48",,Bridgeport,"$522,212,149.00","$81,181,052.00","$3,861,735,205.00","$1,772,408,758.00","$480,750,164.00","$665,031,702.00","$7,383,319,030.00"
Bristol,"$206,544.64","$123,616.81",,Bridgewater,"$3,379,227.00",,"$105,261,648.23","$248,186,919.00",,,"$356,827,794.23"
Brookfield,"$414,025.14","$269,730.89",,Bristol,"$265,199,562.00","$11,955,231.00","$1,616,239,933.00","$1,663,027,391.43","$98,836,937.00","$127,192,993.00","$3,782,452,047.43"
Brooklyn,"$206,156.45","$120,130.78",,Brookfield,"$246,591,485.00","$1,000,000.00","$1,045,011,913.00","$1,075,084,208.00","$405,000.00","$3,029,350.00","$2,371,121,956.00"
Burlington,"$313,310.09","$188,904.91",,Brooklyn,"$14,040,785.00","$2,320,900.00","$181,108,863.00","$341,006,025.00","$1,783,465.00","$3,786,842.00","$544,046,880.00"
Canaan,"$281,078.09","$178,703.23",,Burlington,"$14,700,104.00","$556,500.00","$298,164,304.00","$736,358,195.00","$395,000.00","$5,367,600.00","$1,055,541,703.00"
Canterbury,"$187,712.19","$118,131.04",,Canaan,,"$42,870.00","$45,532,503.00","$86,841,640.34",,"$814,000.00","$133,231,013.34"
Canton,"$315,674.05","$192,459.38",,Canterbury,"$24,000.00","$190,000.00","$97,135,309.00","$178,237,103.00","$228,000.00","$1,436,500.00","$277,250,912.00"
Chaplin,"$172,787.12","$109,177.08",,Canton,"$113,526,306.00","$1,657,000.00","$461,533,913.55","$654,152,160.71","$1,516,000.00","$15,474,150.00","$1,247,859,530.26"
Cheshire,"$362,128.90","$220,949.23",,Chaplin,"$1,363,840.00","$395,000.00","$42,875,033.00","$64,781,318.00",,"$995,777.00","$110,410,968.00"
Chester,"$346,592.14","$220,195.54",,Cheshire,"$277,672,813.91",,"$1,179,959,317.00","$1,518,868,526.74","$239,000.00","$4,305,425.00","$2,981,045,082.65"
Clinton,"$294,588.79","$185,333.25",,Chester,"$6,872,200.00","$365,000.00","$159,829,263.00","$219,072,097.00","$455,000.00","$2,976,000.00","$389,569,560.00"
Colchester,"$247,477.75","$142,873.33",,Clinton,"$78,045,810.00","$1,299,000.00","$525,071,228.00","$825,549,558.84","$1,858,412.00","$10,482,697.00","$1,442,306,705.84"
Colebrook,"$225,337.43","$158,212.17",,Colchester,"$69,629,153.00","$3,197,000.00","$445,743,387.00","$567,590,910.00","$2,068,500.00","$10,324,788.00","$1,098,553,738.00"
Columbia,"$240,773.60","$146,217.89",,Colebrook,,,"$42,417,709.00","$84,171,456.00",,"$1,402,497.00","$127,991,662.00"
Cornwall,"$367,450.10","$263,308.22",,Columbia,"$2,165,875.00",,"$162,153,019.00","$228,112,214.13","$300,000.00","$1,174,500.00","$393,905,608.13"
Coventry,"$211,982.93","$131,456.60",,Cornwall,"$620,000.00",,"$85,345,033.00","$139,374,326.27",,"$275,000.00","$225,614,359.27"
Cromwell,"$277,208.86","$169,219.75",,Coventry,"$32,360,426.00","$685,000.00","$292,132,856.00","$588,027,570.00","$683,600.00","$14,807,750.00","$928,697,202.00"
Danbury,"$404,728.32","$230,702.50",,Cromwell,"$296,078,374.00","$1,510,000.00","$698,998,528.00","$495,321,530.00","$1,750,572.00","$11,585,082.00","$1,505,244,086.00"
Darien,"$1,574,388.04","$973,130.34",,Danbury,"$1,676,881,431.00","$25,734,863.00","$4,775,984,666.00","$2,097,491,414.32","$93,086,589.00","$201,656,361.00","$8,870,835,324.32"
Deep River,"$284,284.09","$200,988.96",,Darien,"$343,200,340.00",,"$2,812,300,006.00","$7,826,313,184.00",,"$7,415,000.00","$10,989,228,530.00"
Derby,"$198,797.62","$124,491.26",,Deep River,"$23,691,180.00","$450,000.00","$130,020,745.00","$227,051,585.00","$365,000.00","$2,489,300.00","$384,067,810.00"
Durham,"$291,285.73","$188,550.01",,Derby,"$106,105,058.00","$6,623,100.00","$266,080,916.00","$248,993,481.00","$14,453,427.00","$64,867,147.00","$707,123,129.00"
East Granby,"$298,564.66","$182,584.24",,Durham,"$17,996,660.00",,"$209,974,099.00","$368,082,555.00",,"$1,665,000.00","$597,718,314.00"
East Haddam,"$251,877.51","$146,147.84",,East Granby,"$60,011,628.00","$315,000.00","$242,019,476.00","$305,678,260.00",,"$1,346,100.00","$609,370,464.00"
East Hampton,"$236,317.66","$144,154.78",,East Haddam,"$15,717,069.00",,"$308,057,550.00","$537,550,596.00","$4,310,500.00","$13,668,667.00","$879,304,382.00"
East Hartford,"$187,724.68","$132,562.28",,East Hampton,"$74,849,682.00","$742,500.00","$460,300,547.29","$679,759,891.28","$1,732,580.00","$13,357,160.00","$1,230,742,360.57"
East Haven,"$234,837.02","$144,154.70",,East Hartford,"$120,702,468.00","$16,703,315.00","$1,265,971,560.00","$1,043,929,955.44","$30,838,453.00","$99,689,613.00","$2,577,835,364.44"
East Lyme,"$342,297.49","$209,685.90",,East Haven,"$205,127,244.79","$924,500.00","$1,098,856,202.12","$785,891,604.85","$4,425,000.00","$38,269,779.00","$2,133,494,330.76"
East Windsor,"$245,836.92","$141,670.00",,East Lyme,"$226,354,552.67","$355,000.00","$863,338,544.00","$1,138,719,182.87","$510,000.00","$14,482,795.00","$2,243,760,074.54"
Eastford,"$209,419.44","$106,936.93",,East Windsor,"$136,656,321.00","$1,080,500.00","$489,142,597.00","$344,174,574.00","$2,784,500.00","$12,459,217.00","$986,297,709.00"
Easton,"$638,713.30","$424,295.86",,Eastford,"$4,499,100.00",,"$57,989,100.00","$64,279,979.00","$140,000.00",,"$126,908,179.00"
Ellington,"$264,535.05","$158,068.16",,Easton,"$3,144,500.00",,"$428,105,521.00","$1,150,721,527.79",,"$760,000.00","$1,582,731,548.79"
Enfield,"$246,205.61","$161,914.74",,Ellington,"$117,135,962.00","$685,000.00","$432,575,110.00","$689,348,719.00","$2,515,000.00","$13,488,075.00","$1,255,747,866.00"
Essex,"$458,877.22","$279,319.36",,Enfield,"$192,296,260.00","$6,536,520.00","$1,367,110,228.60","$1,071,870,673.23","$7,998,563.00","$36,844,028.00","$2,682,656,272.83"
Fairfield,"$726,074.36","$469,053.08",,Essex,"$68,636,356.00",,"$414,834,503.66","$801,265,030.00","$1,811,500.00","$8,863,000.00","$1,295,410,389.66"
Farmington,"$424,980.60","$278,448.45",,Fairfield,"$747,890,217.36","$5,802,050.00","$3,641,034,976.75","$7,850,417,939.21","$9,657,111.00","$134,204,588.00","$12,389,006,882.32"
Franklin,"$226,318.96","$144,743.25",,Farmington,"$602,928,508.22","$2,586,000.00","$1,734,422,791.00","$1,614,155,863.48","$6,480,200.00","$15,120,150.00","$3,975,693,512.70"
Glastonbury,"$414,812.72","$267,598.27",,Franklin,,,"$72,810,002.00","$65,199,566.00",,"$45,000.00","$138,054,568.00"
Goshen,"$345,631.87","$223,278.25",,Glastonbury,"$460,541,278.00","$3,526,500.00","$2,144,693,281.00","$2,550,257,351.00","$3,144,000.00","$30,878,065.00","$5,193,040,475.00"
Granby,"$308,538.40","$178,486.97",,Goshen,"$2,061,000.00","$172,500.00","$200,148,534.00","$372,120,083.00",,"$1,320,585.00","$575,822,702.00"
Greenwich,"$2,071,224.81","$2,480,684.22",,Granby,"$62,274,655.00",,"$432,602,541.00","$654,157,559.00","$530,000.00","$1,592,000.00","$1,151,156,755.00"
Griswold,"$184,954.62","$112,860.68",,Greenwich,"$2,330,296,509.62","$32,735,000.00","$10,541,227,544.00","$22,563,283,212.66","$94,501,514.00","$456,555,642.00","$36,018,599,422.28"
Groton,"$305,179.85","$192,724.22",,Griswold,"$46,309,138.00","$3,637,778.00","$282,664,224.00","$329,357,888.22","$2,200,250.00","$16,833,631.00","$681,002,909.22"
